id;start_date;end_date;language
1;2023-11-24T16:27:34;2023-11-25T08:32:55;FRENCH
2;2023-11-25T03:00:19;2023-11-25T12:03:36;ENGLISH
3;2023-11-24T22:05:52;2023-11-25T01:32:18;ENGLISH
4;2023-11-25T11:38:28;2023-11-24T19:53:22;FRENCH
5;2023-11-25T05:47:13;2023-11-25T04:12:03;ENGLISH
6;2023-11-25T12:46:24;2023-11-25T08:06:53;ENGLISH
7;2023-11-24T15:40:59;2023-11-25T09:16:52;ENGLISH
8;2023-11-24T19:21:50;2023-11-25T12:00:43;ENGLISH
9;2023-11-25T09:32:11;2023-11-24T19:33:51;SPANISH
10;2023-11-25T04:46:00;2023-11-24T15:07:16;ENGLISH
