id;street_address;postal_code;city;state_province;country_id
1;geez kiddingly kosher;accurate phew fooey;Wolfshire;likewise;1
2;circumstance;chuck quietly gadzooks;South Nevaton;lest;2
3;conventional;furthermore;Kreigerworth;sensor;3
4;delightful;pearl paw;Lake Jessicaside;buzzing;null
5;untimely comment glove;supposing aboard pfft;Lake Eldoratown;gee heirloom;4
6;spew unhappy;whoa plus concerning;Fort Braden;ack;5
7;freely huzzah;whose;Port Magnoliaburgh;than that finally;6
8;instead trounce mmm;onto beyond perky;Tillmanfort;shrilly corrupt;7
9;till which;napkin puzzling athwart;Fort Bernice;lest;null
10;next tackle;what;South Kiannaborough;loosely habit;null
